Rank,Title,Director,Actors
22,Manchester by the Sea,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges"
23,Hounds of Love,Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter"
24,Trolls,Walt Dohrn,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse"
25,Independence Day: Resurgence,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe"
26,Paris pieds nus,Dominique Abel,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard"
27,Bahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia"
28,Dead Awake,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty"
29,Bad Moms,Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate"
30,Assassin's Creed,Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson"
31,Why Him?,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer"
32,Nocturnal Animals,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
33,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
34,Deadpool,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
35,Resident Evil: The Final Chapter,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts"
36,Captain America: Civil War,Anthony Russo,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan"
37,Interstellar,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
38,Doctor Strange,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
39,The Magnificent Seven,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio"
40,5- 25- 77,Patrick Read Johnson,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn"
41,Sausage Party,Greg Tiernan,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
42,Moonlight,Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert"
43,Don't Fuck in the Woods,Shawn Burkett,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White"
44,The Founder,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini"
45,Lowriders,Ricardo de Montreuil,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori"
46,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush"
47,Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg"
48,Fallen,Scott Hicks,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine"
49,Star Trek Beyond,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana"
50,The Last Face,Sean Penn,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris"
51,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson"
52,Underworld: Blood Wars,Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver"
53,Mother's Day,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis"
54,John Wick,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
55,The Dark Knight,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine"
56,Silence,Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano"
57,Don't Breathe,Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
58,Me Before You,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance"
59,Their Finest,Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston"
60,Sully,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey"
61,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
62,The Autopsy of Jane Doe,André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton"
63,The Girl on the Train,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux"
64,Fifty Shades of Grey,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford"
65,The Prestige,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
66,Kingsman: The Secret Service,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine"
67,Patriots Day,Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman"
68,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
69,Wakefield,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara"
70,Deepwater Horizon,Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont"
71,The Promise,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho"
72,Allied,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim"
73,A Monster Calls,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell"
74,Collateral Beauty,David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña"
75,Zootopia,Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
76,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush"
77,The Avengers,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner"
78,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent"
79,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport"
80,Ghostbusters,Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones"
81,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe"
82,Captain Fantastic,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso"
83,The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey"
84,Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry"
85,Furious Seven,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham"
86,Jurassic World,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer"
87,Live by Night,Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina"
88,Avatar,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez"
89,The Hateful Eight,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
90,The Accountant,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal"
91,Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo"
92,Warcraft,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper"
93,The Help,Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard"
94,War Dogs,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner"
95,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
96,The Nice Guys,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
97,Kimi no na wa,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki"
98,The Void,Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe"
99,Personal Shopper,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie"
100,The Departed,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
101,Legend,Brian Helgeland,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson"
102,Thor,Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston"
103,The Martian,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
104,Contratiempo,Oriol Paulo,"Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie"
105,The Man from U.N.C.L.E.,Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki"
106,Hell or High Water,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
107,The Comedian,Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco"
108,The Legend of Tarzan,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz"
109,All We Had,Katie Holmes,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis"
110,Ex Machina,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno"
111,The Belko Experiment,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley"
112,12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
113,The Bad Batch,Ana Lily Amirpour,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna"
114,300,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
115,Harry Potter and the Deathly Hallows: Part 2,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
116,Office Christmas Party,Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston"
117,The Neon Demon,Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman"
118,Dangal,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra"
119,10 Cloverfield Lane,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin"
120,Finding Dory,Andrew Stanton,"Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson"
121,Miss Peregrine's Home for Peculiar Children,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench"
122,Divergent,Neil Burger,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney"
123,Mike and Dave Need Wedding Dates,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza"
124,Boyka: Undisputed IV,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov"
125,The Dark Knight Rises,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman"
126,The Jungle Book,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba"
127,Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci"
128,Nerve,Henry Joost,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer"
129,Mamma Mia!,Phyllida Lloyd,"Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård"
130,The Revenant,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
131,Fences,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo"
132,Into the Woods,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt"
133,The Shallows,Jaume Collet-Serra,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen"
134,Whiplash,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
135,Furious 6,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez"
136,The Place Beyond the Pines,Derek Cianfrance,"Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook"
137,No Country for Old Men,Ethan Coen,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
138,The Great Gatsby,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire"
139,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley"
140,Brimstone,Martin Koolhoven,"Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten"
141,Star Trek,J.J. Abrams,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
142,Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn"
143,The Big Short,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt"
144,Room,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson"
145,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington"
146,Ah-ga-ssi,Chan-wook Park,"Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon"
147,The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick"
148,Watchmen,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman"
149,Superbad,Greg Mottola,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader"
150,Inferno,Ron Howard,"Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster"
151,The BFG,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement"
152,The Hunger Games,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci"
153,White Girl,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez"
154,Sicario,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
155,Twin Peaks: The Missing Pieces,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder"
156,Aliens vs Predator - Requiem,Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz"
157,Pacific Rim,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day"
158,"Crazy, Stupid, Love.",Glenn Ficarra,"Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
159,Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill"
160,Hot Fuzz,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy"
161,Mine,Fabio Guaglione,"Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer"
162,Free Fire,Ben Wheatley,"Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy"
163,X-Men: Days of Future Past,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy"
164,Jack Reacher: Never Go Back,Edward Zwick,"Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper"
165,Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
166,Twilight,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke"
167,Now You See Me 2,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco"
168,Woman in Gold,Simon Curtis,"Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes"
169,13 Hours,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale,David Denman"
170,Spectre,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes"
171,Nightcrawler,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed"
172,Kubo and the Two Strings,Travis Knight,"Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes"
173,Beyond the Gates,Jackson Stewart,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton"
174,Her,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara"
175,Frozen,Chris Buck,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
176,Tomorrowland,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy"
177,Dawn of the Planet of the Apes,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
178,Tropic Thunder,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
179,The Conjuring 2,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
180,Ant-Man,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly"
181,Bridget Jones's Baby,Sharon Maguire,"Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips"
182,The VVitch: A New-England Folktale,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings"
183,Cinderella,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter"
184,Realive,Mateo Gil,"Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward"
185,Forushande,Asghar Farhadi,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini"
186,Love,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
187,Billy Lynn's Long Halftime Walk,Ang Lee,"Joe Alwyn, Garrett Hedlund, Arturo Castro, Mason Lee"
188,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam"
189,Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
190,Trainwreck,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Colin Quinn"
191,The Light Between Oceans,Derek Cianfrance,"Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery"
192,Below Her Mouth,April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen"
193,Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
194,Morgan,Luke Scott,"Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare"
195,Warrior,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison"
196,Captain America: The First Avenger,Joe Johnston,"Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell"
197,Hacker,Akan Satayev,"Callan McAuliffe, Lorraine Nicholson, Daniel Eric Gold, Clifton Collins Jr."
198,Into the Wild,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
199,The Imitation Game,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
200,Central Intelligence,Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
201,Edge of Tomorrow,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson"
202,A Cure for Wellness,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi"
203,Snowden,Oliver Stone,"Joseph Gordon-Levitt, Shailene Woodley, Melissa Leo,Zachary Quinto"
204,Iron Man,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges"
205,Allegiant,Robert Schwentke,"Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts"
206,X: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon"
207,Raw (II),Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella,Laurent Lucas"
208,Paterson,Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji"
209,Bridesmaids,Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews"
210,The Girl with All the Gifts,Colm McCarthy,"Gemma Arterton, Glenn Close, Dominique Tipper,Paddy Considine"
211,San Andreas,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes"
212,Spring Breakers,Harmony Korine,"Vanessa Hudgens, Selena Gomez, Ashley Benson,Rachel Korine"
213,Transformers,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
214,Old Boy,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson, Sharlto Copley"
215,Thor: The Dark World,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård"
216,Gods of Egypt,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
217,Captain America: The Winter Soldier,Anthony Russo,"Chris Evans, Samuel L. Jackson,Scarlett Johansson, Robert Redford"
218,Monster Trucks,Chris Wedge,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper"
219,A Dark Song,Liam Gavin,"Mark Huberman, Susan Loughnane, Steve Oram,Catherine Walker"
220,Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown"
221,Hardcore Henry,Ilya Naishuller,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovsky"
222,Cars,John Lasseter,"Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy"
223,It Follows,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi,Lili Sepe"
224,The Girl with the Dragon Tattoo,David Fincher,"Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård"
225,We're the Millers,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts, Ed Helms"
226,American Honey,Andrea Arnold,"Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi"
227,The Lobster,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Jessica Barden,Olivia Colman"
228,Predators,Nimród Antal,"Adrien Brody, Laurence Fishburne, Topher Grace,Alice Braga"
229,Maleficent,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville"
230,Rupture,Steven Shainberg,"Noomi Rapace, Michael Chiklis, Kerry Bishé,Peter Stormare"
231,Pan's Labyrinth,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López,Maribel Verdú"
232,A Kind of Murder,Andy Goddard,"Patrick Wilson, Jessica Biel, Haley Bennett, Vincent Kartheiser"
233,Apocalypto,Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández,Rudy Youngblood"
234,Mission: Impossible - Rogue Nation,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg"
235,The Huntsman: Winter's War,Cedric Nicolas-Troyan,"Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt"
236,The Perks of Being a Wallflower,Stephen Chbosky,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
237,Jackie,Pablo Larraín,"Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup"
238,The Disappointments Room,D.J. Caruso,"Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till"
239,The Grand Budapest Hotel,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody"
240,The Host,Andrew Niccol,"Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger"
241,Fury,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña"
242,Inside Out,Pete Docter,"Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling"
243,Rock Dog,Ash Brannon,"Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black"
244,Terminator Genisys,Alan Taylor,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney"
245,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson"
246,Les Misérables,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried"
247,Children of Men,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine"
248,20th Century Women,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup"
249,Spy,Paul Feig,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham"
250,The Intouchables,Olivier Nakache,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
